Total files are count: 553

 file_number: 1, name: 94.JPG, class: Sadi_pridoniya_sok_vishnya, score: 78.10496687889099% 
 file_number: 181, name: photo_2020-05-11_17-02-09.jpg, class: MKB_Pogidaev, score: 70.69360613822937% 

 file_number: 182, name: 59.JPG, class: Vernel, score: 63.79522681236267% 

 file_number: 183, name: 207.JPG, class: Sadi_pridoniya_sok_vishnya, score: 34.44281816482544% 

 file_number: 184, name: 110.JPG, class: Heinz_apple_pear, score: 57.89923071861267% 

 file_number: 185, name: photo_2020-05-11_17-12-43.jpg, class: Risotto_porcino, score: 81.71977996826172% 

 file_number: 186, name: 352.JPG, class: Adlin, score: 56.244128942489624% 

 file_number: 187, name: 231.JPG, class: Sensiro_Suru_cream, score: 66.83438420295715% 

 file_number: 188, name: photo_2020-05-11_17-07-04.jpg, class: Vologodskaya_malina, score: 60.389673709869385% 

 file_number: 189, name: 161.JPG, class: Korovka_iz_korenovki_sguchonka, score: 28.682741522789% 

 file_number: 190, name: photo_2020-05-11_17-05-34.jpg, class: Oil_amarant, score: 36.78987920284271% 

 file_number: 191, name: photo_2020-05-11_17-00-45.jpg, class: MiT_Losev, score: 95.37440538406372% 

 file_number: 192, name: 46.JPG, class: Sadi_pridoniya_pure_apple, score: 88.87676000595093% 

 file_number: 193, name: 217.JPG, class: Medisorb_Paracetamol, score: 51.879316568374634% 

 file_number: 194, name: 202.JPG, class: Baryer, score: 25.856390595436096% 

 file_number: 195, name: 282.JPG, class: Greenfield, score: 32.76512026786804% 

 file_number: 196, name: 168.JPG, class: Nestle_ovsyanaya_kasha, score: 29.476433992385864% 

 file_number: 197, name: 162.JPG, class: Vernel, score: 66.89461469650269% 

 file_number: 198, name: 78.JPG, class: Plombir_choco, score: 90.07221460342407% 

 file_number: 199, name: 50.JPG, class: Sanitaizer_zero, score: 60.52401661872864% 

 file_number: 200, name: photo_2020-05-11_17-04-32.jpg, class: Leps, score: 98.59541058540344% 

 file_number: 201, name: 244.JPG, class: Koska_delight, score: 23.675359785556793% 

 file_number: 202, name: 131.JPG, class: Heinz_fruits_pure, score: 15.576434135437012% 

 file_number: 203, name: 305.JPG, class: Sadi_pridoniya_sok_abricos, score: 65.78579545021057% 

 file_number: 204, name: 6.JPG, class: Adlin, score: 76.82529091835022% 

